id, order, scheduledStopPointRef, forAlighting, forBoarding, journeyPatternRef
114039064240393603_1,2,114039064240393603_1,1,1,114039064240393603
114039064240393603_2,3,114039064240393603_2,1,1,114039064240393603
114039064240393603_3,4,114039064240393603_3,1,1,114039064240393603
114039064240393603_4,5,114039064240393603_4,1,1,114039064240393603
114039064240393603_5,6,114039064240393603_5,1,1,114039064240393603
114039064240393603_6,7,114039064240393603_6,1,1,114039064240393603
114039064240393603_7,8,114039064240393603_7,1,1,114039064240393603
114039064240393603_8,9,114039064240393603_8,1,1,114039064240393603
114039064240393603_9,10,114039064240393603_9,1,1,114039064240393603
114039064240393603_10,11,114039064240393603_10,1,1,114039064240393603
114039064240393603_11,12,114039064240393603_11,1,1,114039064240393603
114039064240393603_12,13,114039064240393603_12,1,1,114039064240393603
114039064240393603_13,14,114039064240393603_13,1,1,114039064240393603
114039064240393603_14,15,114039064240393603_14,1,1,114039064240393603
114039064240393603_15,16,114039064240393603_15,1,1,114039064240393603
114039064240393603_16,17,114039064240393603_16,1,1,114039064240393603
114039064240393603_17,18,114039064240393603_17,1,1,114039064240393603
114039064240393603_18,19,114039064240393603_18,1,2,114039064240393603
114039049240393603_1,2,114039049240393603_1,1,1,114039049240393603
114039049240393603_2,3,114039049240393603_2,1,1,114039049240393603
114039049240393603_3,4,114039049240393603_3,1,1,114039049240393603
114039049240393603_4,5,114039049240393603_4,1,1,114039049240393603
114039049240393603_5,6,114039049240393603_5,1,1,114039049240393603
114039049240393603_6,7,114039049240393603_6,1,1,114039049240393603
114039049240393603_7,8,114039049240393603_7,1,1,114039049240393603
114039049240393603_8,9,114039049240393603_8,1,1,114039049240393603
114039049240393603_9,10,114039049240393603_9,1,1,114039049240393603
114039049240393603_10,11,114039049240393603_10,1,1,114039049240393603
114039049240393603_11,12,114039049240393603_11,1,1,114039049240393603
114039049240393603_12,13,114039049240393603_12,1,1,114039049240393603
114039049240393603_13,14,114039049240393603_13,1,1,114039049240393603
114039049240393603_14,15,114039049240393603_14,1,1,114039049240393603
114039049240393603_15,16,114039049240393603_15,1,1,114039049240393603
114039049240393603_16,17,114039049240393603_16,1,1,114039049240393603
114039049240393603_17,18,114039049240393603_17,1,1,114039049240393603
114039049240393603_18,19,114039049240393603_18,1,1,114039049240393603
114039103240393603_1,2,114039103240393603_1,2,1,114039103240393603
114039103240393603_2,3,114039103240393603_2,1,1,114039103240393603
114039103240393603_3,4,114039103240393603_3,1,1,114039103240393603
114039103240393603_4,5,114039103240393603_4,1,1,114039103240393603
114039103240393603_5,6,114039103240393603_5,1,1,114039103240393603
114039103240393603_6,7,114039103240393603_6,1,1,114039103240393603
114039103240393603_7,8,114039103240393603_7,1,1,114039103240393603
114039103240393603_8,9,114039103240393603_8,1,1,114039103240393603
114039103240393603_9,10,114039103240393603_9,1,1,114039103240393603
114039103240393603_10,11,114039103240393603_10,1,1,114039103240393603
114039103240393603_11,12,114039103240393603_11,1,1,114039103240393603
114039103240393603_12,13,114039103240393603_12,1,1,114039103240393603
114039103240393603_13,14,114039103240393603_13,1,1,114039103240393603
114039103240393603_14,15,114039103240393603_14,1,1,114039103240393603
114039103240393603_15,16,114039103240393603_15,1,1,114039103240393603
114039103240393603_16,17,114039103240393603_16,1,1,114039103240393603
114039103240393603_17,18,114039103240393603_17,1,1,114039103240393603
114039103240393603_18,19,114039103240393603_18,1,1,114039103240393603
114039229240393603_1,2,114039229240393603_1,1,1,114039229240393603
114039229240393603_2,3,114039229240393603_2,1,1,114039229240393603
114039229240393603_3,4,114039229240393603_3,1,1,114039229240393603
114039229240393603_4,5,114039229240393603_4,1,1,114039229240393603
114039229240393603_5,6,114039229240393603_5,1,1,114039229240393603
114039229240393603_6,7,114039229240393603_6,1,1,114039229240393603
114039229240393603_7,8,114039229240393603_7,1,1,114039229240393603
114039229240393603_8,9,114039229240393603_8,1,1,114039229240393603
114039229240393603_9,10,114039229240393603_9,1,1,114039229240393603
114039229240393603_10,11,114039229240393603_10,1,1,114039229240393603
114039229240393603_11,12,114039229240393603_11,1,1,114039229240393603
114039229240393603_12,13,114039229240393603_12,1,1,114039229240393603
114039229240393603_13,14,114039229240393603_13,1,1,114039229240393603
114039229240393603_14,15,114039229240393603_14,1,1,114039229240393603
114039229240393603_15,16,114039229240393603_15,1,1,114039229240393603
114039229240393603_16,17,114039229240393603_16,1,1,114039229240393603
114039229240393603_17,18,114039229240393603_17,1,1,114039229240393603
114039229240393603_18,19,114039229240393603_18,1,2,114039229240393603
114070891240551604_1,2,114070891240551604_1,1,1,114070891240551604
